"","TFs","target","mor"
"477","CREB1","HLA-DOB",0.730583575367873
"478","CREB1","HLA-DQB1",-9.98151420939024e-08
"479","CREB1","HLA-DRA",0.935443852532788
"480","CREB1","HMOX1",-0.926087357893907
"481","CREB1","HPGD",0.929526085367973
"482","CREB1","IFNG",-0.00631869921401375
"483","CREB1","IL10",0.335132005234439
"484","CREB1","IL2",0.911391332852356
"485","CREB1","IL5RA",0.584398883083525
"486","CREB1","IL6",0.203988906948559
"487","CREB1","INS",-7.89570439483042e-05
"488","CREB1","JUN",-0.286425684301293
"489","CREB1","MITF",-0.00099938011411273
"490","CREB1","MSMB",0.993370411002531
"491","CREB1","MUC4",0.70278726956166
"492","CREB1","NF1",0.667049922633655
"493","CREB1","NOLC1",0.852729122644704
"494","CREB1","NPY",0.736334097512175
"495","CREB1","NR4A2",-0.00877218595721624
"496","CREB1","NR4A3",-0.968720876086211
"497","CREB1","NTS",0.995563692545776
"498","CREB1","ODC1",-0.172383482170643
"499","CREB1","PCK1",0.648448429925047
"500","CREB1","PCK2",-9.72681611453344e-07
"501","CREB1","PCSK1",0.641777873751822
"502","CREB1","PDYN",0.957872704059204
"503","CREB1","PLAT",0.70278726956166
"504","CREB1","POLD2",0.772718582223128
"505","CREB1","PPP2CA",-1.63605478431235e-06
"506","CREB1","PSEN1",0.730583575367873
"507","CREB1","PTGS2",0.984433575046793
"508","CREB1","RARB",-1.92484961154086e-06
"509","CREB1","REN",0.240807597994892
"510","CREB1","RRM2B",0.179152969154959
"511","CREB1","SLC19A1",0.992025782068108
"512","CREB1","SLC20A1",0.553604561776764
"513","CREB1","SPRY2",0.995563692545776
"514","CREB1","STAR",0.920527187698236
"515","CREB1","TG",-1.26137110635892e-07
"516","CREB1","TH",0.903183800362873
"517","CREB1","TRH",0.310915616563851
"518","CREB1","UCP1",0.596096920105262
"519","CREB1","UGT8",0.955429553161083
"520","CREB1","UXT",0.99498316120686
"521","CREB1","VEGFA",0.914665862181565
"522","CREB1","VIP",0.835602065851625
"523","CTCF","ABCA2",-7.79569125893223e-07
"524","CTCF","ACTR3",0.667049922633655
"525","CTCF","ACVR1C",0.373642184464672
"526","CTCF","AHCYL1",0.515219865300671
"527","CTCF","AKT1",-0.0958730153723331
"528","CTCF","ALDH1A3",0.665968466128523
"529","CTCF","ANG",0.70988116386021
"530","CTCF","ANKRD46",-7.04945004351209e-06
"531","CTCF","APP",0.534455550743244
"532","CTCF","ARL2",0.394118599600807
"533","CTCF","ASAP2",-2.32449817278924e-06
"534","CTCF","ATN1",0.827915190187896
"535","CTCF","ATXN7",0.200072961541036
"536","CTCF","B4GALNT1",-1.46737584825227e-06
"537","CTCF","BATF2",0.361340917487054
"538","CTCF","BBC3",-0.830852667289272
"539","CTCF","BCL2L14",0.222707951051157
"540","CTCF","BCL6",-3.76052095234745e-07
"541","CTCF","BICD2",-2.31595836763462e-07
"542","CTCF","C1R",0.668129732674976
"543","CTCF","CCL16",0.946523637840244
"544","CTCF","CCND1",0.532054715583421
"545","CTCF","CD80",0.69971838726981
"546","CTCF","CDKN2A",0.717871708428725
"547","CTCF","CELSR3",-1.59979447191689e-05
"548","CTCF","CEP135",0.948109811686658
"549","CTCF","CFTR",0.616894249491189
"550","CTCF","CHRNA6",0.671359199106578
"551","CTCF","CIDEB",0.82215781285182
"552","CTCF","COL27A1",0.54045147677779
"553","CTCF","COMMD2",0.985034795777648
"554","CTCF","CSF2",0.963367432954582
"555","CTCF","CT45A5",0.986015986579613
"556","CTCF","DEFB123",0.946523637840244
"557","CTCF","DIP2B",0.774446637466552
"558","CTCF","DMKN",-0.000188120827546225
"559","CTCF","DMPK",-9.72681611453344e-07
"560","CTCF","EPHB1",0.319232661303439
"561","CTCF","EPX",0.469507557104879
"562","CTCF","ESRP2",0.518830651395202
"563","CTCF","ETNK2",0.322381194071489
"564","CTCF","FBXO7",-0.718369533570208
"565","CTCF","GALNT6",-0.472370835742238
"566","CTCF","GALT",0.91426228131744
"567","CTCF","GAS7",0.640661037783069
"568","CTCF","GPR156",-5.72357544503549e-06
"569","CTCF","GRIN3A",0.437319473831392
"570","CTCF","H19",0.921281915103417
"571","CTCF","HAUS7",0.67350378981182
"572","CTCF","HEBP2",0.624880407005839
"573","CTCF","HMCN1",0.401031025877316
"574","CTCF","HS1BP3",0.507995274288549
"575","CTCF","HSPA5",0.790421844146554
"576","CTCF","IGF2",0.200072961541036
"577","CTCF","IL19",0.682013641518719
"578","CTCF","IPO13",0.48271554947802
"579","CTCF","IRAK2",-2.51203881574622e-05
"580","CTCF","KSR1",0.811741715787692
"581","CTCF","LPIN3",-3.20406279251935e-06
"582","CTCF","LRRC59",0.893861966573654
"583","CTCF","MB",0.955656788934716
"584","CTCF","MCM10",0.339436430524793
